Driver,Nationality,Seasons,Championships,Race_Entries,Race_Starts,Pole_Positions,Race_Wins,Podiums,Fastest_Laps,Points,Active,Championship Years,Decade,Pole_Rate,Start_Rate,Win_Rate,Podium_Rate,FastLap_Rate,Points_Per_Entry,Years_Active,Champion,Championship_Experience,Wins_Per_Season,Podiums_Per_Season,Points_Per_Season,Win_Efficiency,Podium_Efficiency,Pole_Conversion,Nationality_Encoded
Howden Ganley,New Zealand,"[1971, 1972, 1973, 1974]",0.0,0.2061976217087554,35.0,0.0,-0.19230290088106675,-0.26045338669330304,0.0,-0.17248611285853707,0,,1970,0.0,0.8536585365853658,0.0,0.0,0.0,0.2439024390243902,0.09579372352539954,0,Non-Champion,0.0,0.0,2.5,0.0,0.0,0.0,30
Giedo van der Garde,Netherlands,[2013],0.0,-0.2031110876623873,19.0,0.0,-0.19230290088106675,-0.26045338669330304,0.0,-0.2101062109810016,0,,2010,0.0,1.0,0.0,0.0,0.0,0.0,-0.7614119674029185,0,Non-Champion,0.0,0.0,0.0,0.0,0.0,0.0,29
Frank Gardner,Australia,"[1964, 1965, 1968]",0.0,-0.3891605010129067,8.0,0.0,-0.19230290088106675,-0.26045338669330304,0.0,-0.2101062109810016,0,,1970,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,-0.18994150678403982,0,Non-Champion,0.0,0.0,0.0,0.0,0.0,0.0,1
Billy Garrett,United States,"[1956, 1958]",0.0,-0.5007901490232184,2.0,0.0,-0.19230290088106675,-0.26045338669330304,0.0,-0.2101062109810016,0,,1960,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,-0.4756767370934792,0,Non-Champion,0.0,0.0,0.0,0.0,0.0,0.0,43
Jo Gartner,Austria,[1984],0.0,-0.40776544234795864,8.0,0.0,-0.19230290088106675,-0.26045338669330304,0.0,-0.2101062109810016,0,,1980,0.0,1.0,0.0,0.0,0.0,0.0,-0.7614119674029185,0,Non-Champion,0.0,0.0,0.0,0.0,0.0,0.0,2
Pierre Gasly,France,"[2017, 2018, 2019, 2020, 2021, 2022]",0.0,1.4713336324922874,109.0,0.0,-0.0381764761675248,-0.05247404938899112,3.0,1.0464050663093138,1,,2020,0.0,1.0,0.0091743119266055,0.0275229357798165,0.0275229357798165,3.0642201834862384,0.6672641841442782,0,Non-Champion,0.17,0.5,55.67,0.009,0.028,0.0,15
Tony Gaze,Australia,[1952],0.0,-0.4821852076881664,3.0,0.0,-0.19230290088106675,-0.26045338669330304,0.0,-0.2101062109810016,0,,1950,0.0,0.75,0.0,0.0,0.0,0.0,-0.7614119674029185,0,Non-Champion,0.0,0.0,0.0,0.0,0.0,0.0,1
Geki,Italy,"[1964, 1965, 1966]",0.0,-0.5007901490232184,2.0,0.0,-0.19230290088106675,-0.26045338669330304,0.0,-0.2101062109810016,0,,1960,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,-0.18994150678403982,0,Non-Champion,0.0,0.0,0.0,0.0,0.0,0.0,21
Olivier Gendebien,Belgium,"[1956, 1958, 1959, 1960, 1961]",0.0,-0.27753085300259506,14.0,0.0,-0.19230290088106675,-0.12180049515709508,0.0,-0.14239003436056544,0,,1960,0.0,0.9333333333333332,0.0,0.1333333333333333,0.0,1.2,0.3815289538348389,0,Non-Champion,0.0,0.4,3.6,0.0,0.143,0.0,3
Marc Gené,Spain,"[1999, 2000, 2003, 2004]",0.0,0.1131729150334957,36.0,0.0,-0.19230290088106675,-0.26045338669330304,0.0,-0.19129616191976934,0,,2000,0.0,1.0,0.0,0.0,0.0,0.1388888888888889,0.09579372352539954,0,Non-Champion,0.0,0.0,1.25,0.0,0.0,0.0,38
